rule_id,scenario_id,rule_group,parameter_name,parameter_value,value_type,effective_at,version,description
RULE-001,demo-acts-1-3,OPPORTUNITY,family_fact_fresh_days,180,integer,2026-09-15T09:00:00+08:00,acts-1-3-rules-v1,家庭责任事实有效天数
RULE-002,demo-acts-1-3,OPPORTUNITY,anniversary_window_days,30,integer,2026-09-15T09:00:00+08:00,acts-1-3-rules-v1,保单周年机会窗口
RULE-003,demo-acts-1-3,OPPORTUNITY,behavior_window_days,30,integer,2026-09-15T09:00:00+08:00,acts-1-3-rules-v1,主动行为有效窗口
RULE-004,demo-acts-1-3,ELIGIBILITY,frequency_window_days,7,integer,2026-09-15T09:00:00+08:00,acts-1-3-rules-v1,营销触达频控窗口
RULE-005,demo-acts-1-3,ELIGIBILITY,frequency_block_count,3,integer,2026-09-15T09:00:00+08:00,acts-1-3-rules-v1,达到该次数即暂缓经营
RULE-006,demo-acts-1-3,PRIORITY,priority_customer_count,12,integer,2026-09-15T09:00:00+08:00,acts-1-3-rules-v1,高优先级客户数量
RULE-007,demo-acts-1-3,PRIORITY,gap_high_ratio,0.6,decimal,2026-09-15T09:00:00+08:00,acts-1-3-rules-v1,高保障缺口比例阈值
RULE-008,demo-acts-1-3,PRIORITY,gap_medium_ratio,0.4,decimal,2026-09-15T09:00:00+08:00,acts-1-3-rules-v1,中保障缺口比例阈值
RULE-009,demo-acts-1-3,PRIORITY,content_view_points,10,integer,2026-09-15T09:00:00+08:00,acts-1-3-rules-v1,单次近期浏览贡献，最多两次
RULE-010,demo-acts-1-3,PRIORITY,assessment_completed_points,20,integer,2026-09-15T09:00:00+08:00,acts-1-3-rules-v1,完成测算贡献
RULE-011,demo-acts-1-3,PRIORITY,consultation_points,15,integer,2026-09-15T09:00:00+08:00,acts-1-3-rules-v1,主动咨询贡献
RULE-012,demo-acts-1-3,PRIORITY,fresh_family_fact_points,10,integer,2026-09-15T09:00:00+08:00,acts-1-3-rules-v1,30天内家庭事实贡献
RULE-013,demo-acts-1-3,PRIORITY,payment_capacity_high_points,15,integer,2026-09-15T09:00:00+08:00,acts-1-3-rules-v1,高缴费能力区间贡献
RULE-014,demo-acts-1-3,PRIORITY,payment_capacity_medium_points,10,integer,2026-09-15T09:00:00+08:00,acts-1-3-rules-v1,中缴费能力区间贡献
RULE-015,demo-acts-1-3,PRIORITY,payment_capacity_low_points,5,integer,2026-09-15T09:00:00+08:00,acts-1-3-rules-v1,低缴费能力区间贡献
RULE-016,demo-acts-1-3,PRIORITY,recent_contact_penalty,5,integer,2026-09-15T09:00:00+08:00,acts-1-3-rules-v1,频控窗口内每次触达扣减
RULE-017,demo-acts-1-3,OPPORTUNITY,unit_contact_cost,1,decimal,2026-09-15T09:00:00+08:00,acts-1-3-rules-v1,机会成本相对比较的统一单位成本
